avg_ep_avg_reward,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/batch_size,config/eps_decay,config/eps_end,config/eps_start,config/gamma,config/learning_rate,config/num_layers,config/num_neurons,config/replay_mem,config/tau,logdir
-47.69048368917358,244.74339628219604,False,,,1,854579a8,3768a7614f124e6faacc6043d442ac5a,2023-04-27_19-44-13,1682624653,244.74339628219604,946360,b320ae3261b3,172.17.0.8,244.74339628219604,0,1,0.011099100112915,512,210,0.0401608956005991,0.8410844569453056,0.9300453506124335,0.004309591527498559,7,48,256,0.008151215369884416,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_854579a8_896_batch_size=512,eps_decay=210,eps_end=0.0402,eps_start=0.8411,gamma=0.9300,learning_rate=0.0043,num_layers=7_2023-04-27_19-40-08"
-39.94365741679817,244.1243796348572,False,,,1,3654c080,41efe0b388eb47aba35d8629493712b3,2023-04-27_19-44-13,1682624653,244.1243796348572,943179,b320ae3261b3,172.17.0.8,244.1243796348572,0,1,0.010765790939331,512,180,0.04322828570054103,0.8571320248974702,0.9285059265987459,0.003522386185200886,7,32,256,0.007192892059335802,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_3654c080_897_batch_size=512,eps_decay=180,eps_end=0.0432,eps_start=0.8571,gamma=0.9285,learning_rate=0.0035,num_layers=7_2023-04-27_19-40-09"
-35.28042918892145,241.2811930179596,False,,,1,82f87c77,fd501008ba2d4522b7048f537a32706a,2023-04-27_19-44-10,1682624650,241.2811930179596,970388,b320ae3261b3,172.17.0.8,241.2811930179596,0,1,0.0108041763305664,512,210,0.03052598730040547,0.890005002559069,0.8759315603884528,0.0014089733599192747,6,16,256,0.008633292062300225,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_82f87c77_898_batch_size=512,eps_decay=210,eps_end=0.0305,eps_start=0.8900,gamma=0.8759,learning_rate=0.0014,num_layers=6_2023-04-27_19-40-09"
-47.94608094802896,242.20904684066767,False,,,1,0d28c95a,437affbaca8d41f8974291556d7e2f3c,2023-04-27_19-44-12,1682624652,242.20904684066767,1031330,b320ae3261b3,172.17.0.8,242.20904684066767,0,1,0.0362677574157714,512,180,0.03492540447117287,0.8060467563188183,0.9174782869301394,0.0034981705993608384,7,48,256,0.008500945252197826,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_0d28c95a_899_batch_size=512,eps_decay=180,eps_end=0.0349,eps_start=0.8060,gamma=0.9175,learning_rate=0.0035,num_layers=7_2023-04-27_19-40-10"
-3.865101312654832,238.30733633041385,False,,,1,e915876f,d6817ca1f08c404b8efba57cef2dbd07,2023-04-27_19-44-09,1682624649,238.30733633041385,1041730,b320ae3261b3,172.17.0.8,238.30733633041385,0,1,0.020519733428955,512,220,0.03737904094380183,0.8823960550225013,0.8781081924922567,0.003522386185200886,5,32,256,0.008401392241836595,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_e915876f_900_batch_size=512,eps_decay=220,eps_end=0.0374,eps_start=0.8824,gamma=0.8781,learning_rate=0.0035,num_layers=5_2023-04-27_19-40-11"
-26.45511543559697,242.96914768218997,False,,,1,8672ea04,8413f5e07c3644d393fb15acb94b7b2e,2023-04-27_19-44-14,1682624654,242.96914768218997,1038436,b320ae3261b3,172.17.0.8,242.96914768218997,0,1,0.015378713607788,512,220,0.03793624361001922,0.8011777392219359,0.9300453506124335,0.0007783633715082486,7,16,256,0.007311894541573737,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_8672ea04_901_batch_size=512,eps_decay=220,eps_end=0.0379,eps_start=0.8012,gamma=0.9300,learning_rate=0.0008,num_layers=7_2023-04-27_19-40-11"
-10.904009457761498,292.28876090049744,False,,,1,4ee0ecc4,d8e5ab5c221d4b28a4dc0309b6def5dd,2023-04-27_19-45-04,1682624704,292.28876090049744,971440,b320ae3261b3,172.17.0.8,292.28876090049744,0,1,0.0111088752746582,256,220,0.030777410780635166,0.8060467563188183,0.8781081924922567,0.003522386185200886,5,48,256,0.008401392241836595,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_4ee0ecc4_902_batch_size=256,eps_decay=220,eps_end=0.0308,eps_start=0.8060,gamma=0.8781,learning_rate=0.0035,num_layers=5_2023-04-27_19-40-12"
-47.15003972507768,249.32020807266235,False,,,1,a57e7bc0,7986efd3dddb4bd8925ea8b2e2e37567,2023-04-27_19-44-22,1682624662,249.32020807266235,1026475,b320ae3261b3,172.17.0.8,249.32020807266235,0,1,0.0244584083557128,512,190,0.03188572024370167,0.8215313082476581,0.9377789003789295,0.0017909318498686537,8,64,256,0.008058696505906127,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_a57e7bc0_903_batch_size=512,eps_decay=190,eps_end=0.0319,eps_start=0.8215,gamma=0.9378,learning_rate=0.0018,num_layers=8_2023-04-27_19-40-13"
-48.094556359990925,243.523681640625,False,,,1,490a3822,6780309230474cca9db9f73a689f669a,2023-04-27_19-44-17,1682624657,243.523681640625,1031401,b320ae3261b3,172.17.0.8,243.523681640625,0,1,0.0325522422790527,512,190,0.03301031162075024,0.8215313082476581,0.9377789003789295,0.0008942202618159405,8,16,256,0.008058696505906127,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_490a3822_904_batch_size=512,eps_decay=190,eps_end=0.0330,eps_start=0.8215,gamma=0.9378,learning_rate=0.0009,num_layers=8_2023-04-27_19-40-13"
-43.61474958070551,238.85390090942383,False,,,1,74f22e78,8d12033759a0449a813d7a4c39234167,2023-04-27_19-44-13,1682624653,238.85390090942383,969538,b320ae3261b3,172.17.0.8,238.85390090942383,0,1,0.0105681419372558,512,200,0.04056078585955844,0.8146472918236407,0.9300453506124335,0.0011235948264584072,5,48,256,0.007408302185063834,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_74f22e78_905_batch_size=512,eps_decay=200,eps_end=0.0406,eps_start=0.8146,gamma=0.9300,learning_rate=0.0011,num_layers=5_2023-04-27_19-40-14"
